time,altitude,latitude,longitude,chlor_a,,,,,,,,,,November 2013-January 2014,,,,,latitude,longitude,chlor_a
november,m,degrees_north,degrees_east,mg m^-3,,december,,,,,,january,,,,,,total,degrees_north,degrees_east,mg m^-3
2013-11-01T12:00:00Z,0,44.56875,-127.06875,0.4870817,,2013-12-01T12:00:00Z,0,44.56875,-127.06875,0.30679077,,2014-01-01T12:00:00Z,0,44.56875,-127.06875,0.4580865,,,44.56875,-127.06875,0.417319657
2013-11-01T12:00:00Z,0,44.56875,-127.03125,0.47460413,,2013-12-01T12:00:00Z,0,44.56875,-127.03125,0.24186349,,2014-01-01T12:00:00Z,0,44.56875,-127.03125,0.49750504,,,44.56875,-127.03125,0.404657553
2013-11-01T12:00:00Z,0,44.56875,-126.99375,0.4813887,,2013-12-01T12:00:00Z,0,44.56875,-126.99375,0.23864256,,2014-01-01T12:00:00Z,0,44.56875,-126.99375,0.51711184,,,44.56875,-126.99375,0.412381033
2013-11-01T12:00:00Z,0,44.56875,-126.95625,0.4885902,,2013-12-01T12:00:00Z,0,44.56875,-126.95625,0.3012167,,2014-01-01T12:00:00Z,0,44.56875,-126.95625,0.5097123,,,44.56875,-126.95625,0.433173067
2013-11-01T12:00:00Z,0,44.56875,-126.91875,0.51209164,,2013-12-01T12:00:00Z,0,44.56875,-126.91875,0.304743,,2014-01-01T12:00:00Z,0,44.56875,-126.91875,0.4562656,,,44.56875,-126.91875,0.424366747
2013-11-01T12:00:00Z,0,44.56875,-126.88125,0.515688,,2013-12-01T12:00:00Z,0,44.56875,-126.88125,0.3687419,,2014-01-01T12:00:00Z,0,44.56875,-126.88125,0.506919,,,44.56875,-126.88125,0.463782967
2013-11-01T12:00:00Z,0,44.56875,-126.84375,0.51077455,,2013-12-01T12:00:00Z,0,44.56875,-126.84375,0.36833286,,2014-01-01T12:00:00Z,0,44.56875,-126.84375,0.46174297,,,44.56875,-126.84375,0.446950127
2013-11-01T12:00:00Z,0,44.56875,-126.80625,0.5016647,,2013-12-01T12:00:00Z,0,44.56875,-126.80625,0.4043812,,2014-01-01T12:00:00Z,0,44.56875,-126.80625,0.4530215,,,44.56875,-126.80625,0.453022467
2013-11-01T12:00:00Z,0,44.56875,-126.76875,0.67405915,,2013-12-01T12:00:00Z,0,44.56875,-126.76875,0.4044118,,2014-01-01T12:00:00Z,0,44.56875,-126.76875,0.46972623,,,44.56875,-126.76875,0.516065727
2013-11-01T12:00:00Z,0,44.56875,-126.73125,0.70025283,,2013-12-01T12:00:00Z,0,44.56875,-126.73125,0.4512773,,2014-01-01T12:00:00Z,0,44.56875,-126.73125,0.550483,,,44.56875,-126.73125,0.56733771
2013-11-01T12:00:00Z,0,44.56875,-126.69375,0.5723725,,2013-12-01T12:00:00Z,0,44.56875,-126.69375,0.3425017,,2014-01-01T12:00:00Z,0,44.56875,-126.69375,0.46037987,,,44.56875,-126.69375,0.458418023
2013-11-01T12:00:00Z,0,44.56875,-126.65625,0.5214263,,2013-12-01T12:00:00Z,0,44.56875,-126.65625,0.43765908,,2014-01-01T12:00:00Z,0,44.56875,-126.65625,0.5167508,,,44.56875,-126.65625,0.491945393
2013-11-01T12:00:00Z,0,44.56875,-126.61875,0.52568847,,2013-12-01T12:00:00Z,0,44.56875,-126.61875,0.47148445,,2014-01-01T12:00:00Z,0,44.56875,-126.61875,0.52693164,,,44.56875,-126.61875,0.508034853
2013-11-01T12:00:00Z,0,44.56875,-126.58125,0.5398606,,2013-12-01T12:00:00Z,0,44.56875,-126.58125,0.49873438,,2014-01-01T12:00:00Z,0,44.56875,-126.58125,0.53102994,,,44.56875,-126.58125,0.523208307
2013-11-01T12:00:00Z,0,44.56875,-126.54375,0.611985,,2013-12-01T12:00:00Z,0,44.56875,-126.54375,0.459742,,2014-01-01T12:00:00Z,0,44.56875,-126.54375,0.51596624,,,44.56875,-126.54375,0.52923108
2013-11-01T12:00:00Z,0,44.56875,-126.50625,0.61596984,,2013-12-01T12:00:00Z,0,44.56875,-126.50625,0.53110385,,2014-01-01T12:00:00Z,0,44.56875,-126.50625,0.48917663,,,44.56875,-126.50625,0.545416773
2013-11-01T12:00:00Z,0,44.56875,-126.46875,0.6156995,,2013-12-01T12:00:00Z,0,44.56875,-126.46875,0.5054271,,2014-01-01T12:00:00Z,0,44.56875,-126.46875,0.4981096,,,44.56875,-126.46875,0.5397454
2013-11-01T12:00:00Z,0,44.56875,-126.43125,0.55773944,,2013-12-01T12:00:00Z,0,44.56875,-126.43125,0.45079136,,2014-01-01T12:00:00Z,0,44.56875,-126.43125,0.4929939,,,44.56875,-126.43125,0.500508233
2013-11-01T12:00:00Z,0,44.56875,-126.39375,0.6150873,,2013-12-01T12:00:00Z,0,44.56875,-126.39375,1.0518066,,2014-01-01T12:00:00Z,0,44.56875,-126.39375,0.5411941,,,44.56875,-126.39375,0.736029333
2013-11-01T12:00:00Z,0,44.56875,-126.35625,0.6166934,,2013-12-01T12:00:00Z,0,44.56875,-126.35625,0.40462393,,2014-01-01T12:00:00Z,0,44.56875,-126.35625,0.5373602,,,44.56875,-126.35625,0.519559177
2013-11-01T12:00:00Z,0,44.56875,-126.31875,0.6140582,,2013-12-01T12:00:00Z,0,44.56875,-126.31875,0.39704478,,2014-01-01T12:00:00Z,0,44.56875,-126.31875,0.56462395,,,44.56875,-126.31875,0.52524231
2013-11-01T12:00:00Z,0,44.56875,-126.28125,0.5878687,,2013-12-01T12:00:00Z,0,44.56875,-126.28125,0.65490115,,2014-01-01T12:00:00Z,0,44.56875,-126.28125,0.59936666,,,44.56875,-126.28125,0.614045503
2013-11-01T12:00:00Z,0,44.56875,-126.24375,0.5798614,,2013-12-01T12:00:00Z,0,44.56875,-126.24375,0.4541974,,2014-01-01T12:00:00Z,0,44.56875,-126.24375,0.53222054,,,44.56875,-126.24375,0.522093113
2013-11-01T12:00:00Z,0,44.56875,-126.20625,0.5742909,,2013-12-01T12:00:00Z,0,44.56875,-126.20625,0.6178518,,2014-01-01T12:00:00Z,0,44.56875,-126.20625,0.60640657,,,44.56875,-126.20625,0.599516423
2013-11-01T12:00:00Z,0,44.56875,-126.16875,0.58038723,,2013-12-01T12:00:00Z,0,44.56875,-126.16875,0.58291143,,2014-01-01T12:00:00Z,0,44.56875,-126.16875,0.48320708,,,44.56875,-126.16875,0.548835247
2013-11-01T12:00:00Z,0,44.56875,-126.13125,0.57322484,,2013-12-01T12:00:00Z,0,44.56875,-126.13125,0.46137562,,2014-01-01T12:00:00Z,0,44.56875,-126.13125,0.45877934,,,44.56875,-126.13125,0.497793267
2013-11-01T12:00:00Z,0,44.56875,-126.09375,0.5874355,,2013-12-01T12:00:00Z,0,44.56875,-126.09375,0.44669157,,2014-01-01T12:00:00Z,0,44.56875,-126.09375,0.45638338,,,44.56875,-126.09375,0.496836817
2013-11-01T12:00:00Z,0,44.56875,-126.05625,0.61846405,,2013-12-01T12:00:00Z,0,44.56875,-126.05625,0.44832468,,2014-01-01T12:00:00Z,0,44.56875,-126.05625,0.41419837,,,44.56875,-126.05625,0.493662367
2013-11-01T12:00:00Z,0,44.56875,-126.01875,0.5905347,,2013-12-01T12:00:00Z,0,44.56875,-126.01875,0.4497707,,2014-01-01T12:00:00Z,0,44.56875,-126.01875,0.4209513,,,44.56875,-126.01875,0.487085567
2013-11-01T12:00:00Z,0,44.56875,-125.98125,0.59319586,,2013-12-01T12:00:00Z,0,44.56875,-125.98125,0.40788195,,2014-01-01T12:00:00Z,0,44.56875,-125.98125,0.433848,,,44.56875,-125.98125,0.478308603
2013-11-01T12:00:00Z,0,44.56875,-125.94375,0.6089318,,2013-12-01T12:00:00Z,0,44.56875,-125.94375,0.42583227,,2014-01-01T12:00:00Z,0,44.56875,-125.94375,0.38360995,,,44.56875,-125.94375,0.47279134
2013-11-01T12:00:00Z,0,44.56875,-125.90625,0.57142687,,2013-12-01T12:00:00Z,0,44.56875,-125.90625,0.3907556,,2014-01-01T12:00:00Z,0,44.56875,-125.90625,0.41979232,,,44.56875,-125.90625,0.460658263
2013-11-01T12:00:00Z,0,44.56875,-125.86875,0.58742553,,2013-12-01T12:00:00Z,0,44.56875,-125.86875,0.44838002,,2014-01-01T12:00:00Z,0,44.56875,-125.86875,0.4224077,,,44.56875,-125.86875,0.486071083
2013-11-01T12:00:00Z,0,44.56875,-125.83125,0.58739674,,2013-12-01T12:00:00Z,0,44.56875,-125.83125,0.5124362,,2014-01-01T12:00:00Z,0,44.56875,-125.83125,0.4147951,,,44.56875,-125.83125,0.504876013
2013-11-01T12:00:00Z,0,44.56875,-125.79375,0.61257774,,2013-12-01T12:00:00Z,0,44.56875,-125.79375,0.45612186,,2014-01-01T12:00:00Z,0,44.56875,-125.79375,0.4162396,,,44.56875,-125.79375,0.494979733
2013-11-01T12:00:00Z,0,44.56875,-125.75625,0.61539274,,2013-12-01T12:00:00Z,0,44.56875,-125.75625,0.44235915,,2014-01-01T12:00:00Z,0,44.56875,-125.75625,0.43489164,,,44.56875,-125.75625,0.497547843
2013-11-01T12:00:00Z,0,44.56875,-125.71875,0.60455024,,2013-12-01T12:00:00Z,0,44.56875,-125.71875,0.5071366,,2014-01-01T12:00:00Z,0,44.56875,-125.71875,0.4585986,,,44.56875,-125.71875,0.52342848
2013-11-01T12:00:00Z,0,44.56875,-125.68125,0.62853134,,2013-12-01T12:00:00Z,0,44.56875,-125.68125,0.46329036,,2014-01-01T12:00:00Z,0,44.56875,-125.68125,0.43333748,,,44.56875,-125.68125,0.508386393
2013-11-01T12:00:00Z,0,44.56875,-125.64375,0.6254322,,2013-12-01T12:00:00Z,0,44.56875,-125.64375,0.4292459,,2014-01-01T12:00:00Z,0,44.56875,-125.64375,0.43005458,,,44.56875,-125.64375,0.494910893
2013-11-01T12:00:00Z,0,44.56875,-125.60625,0.6155963,,2013-12-01T12:00:00Z,0,44.56875,-125.60625,0.4330823,,2014-01-01T12:00:00Z,0,44.56875,-125.60625,0.45559,,,44.56875,-125.60625,0.501422867
2013-11-01T12:00:00Z,0,44.56875,-125.56875,0.6897988,,2013-12-01T12:00:00Z,0,44.56875,-125.56875,0.41219077,,2014-01-01T12:00:00Z,0,44.56875,-125.56875,0.51307654,,,44.56875,-125.56875,0.53835537
2013-11-01T12:00:00Z,0,44.56875,-125.53125,0.7059672,,2013-12-01T12:00:00Z,0,44.56875,-125.53125,0.4164099,,2014-01-01T12:00:00Z,0,44.56875,-125.53125,0.51909584,,,44.56875,-125.53125,0.547157647
2013-11-01T12:00:00Z,0,44.56875,-125.49375,0.6340108,,2013-12-01T12:00:00Z,0,44.56875,-125.49375,0.39139488,,2014-01-01T12:00:00Z,0,44.56875,-125.49375,0.4503221,,,44.56875,-125.49375,0.49190926
2013-11-01T12:00:00Z,0,44.56875,-125.45625,0.75620866,,2013-12-01T12:00:00Z,0,44.56875,-125.45625,0.5239214,,2014-01-01T12:00:00Z,0,44.56875,-125.45625,0.48546925,,,44.56875,-125.45625,0.588533103
2013-11-01T12:00:00Z,0,44.56875,-125.41875,0.63868964,,2013-12-01T12:00:00Z,0,44.56875,-125.41875,0.7484681,,2014-01-01T12:00:00Z,0,44.56875,-125.41875,0.4716378,,,44.56875,-125.41875,0.619598513
2013-11-01T12:00:00Z,0,44.56875,-125.38125,0.62280536,,2013-12-01T12:00:00Z,0,44.56875,-125.38125,0.6164309,,2014-01-01T12:00:00Z,0,44.56875,-125.38125,0.5151468,,,44.56875,-125.38125,0.584794353
2013-11-01T12:00:00Z,0,44.56875,-125.34375,0.6108176,,2013-12-01T12:00:00Z,0,44.56875,-125.34375,0.6355243,,2014-01-01T12:00:00Z,0,44.56875,-125.34375,0.5437446,,,44.56875,-125.34375,0.5966955
2013-11-01T12:00:00Z,0,44.56875,-125.30625,0.62714726,,2013-12-01T12:00:00Z,0,44.56875,-125.30625,0.615992,,2014-01-01T12:00:00Z,0,44.56875,-125.30625,0.6143267,,,44.56875,-125.30625,0.61915532
2013-11-01T12:00:00Z,0,44.56875,-125.26875,0.6068905,,2013-12-01T12:00:00Z,0,44.56875,-125.26875,0.49792156,,2014-01-01T12:00:00Z,0,44.56875,-125.26875,0.6378413,,,44.56875,-125.26875,0.580884453
2013-11-01T12:00:00Z,0,44.56875,-125.23125,0.6017996,,2013-12-01T12:00:00Z,0,44.56875,-125.23125,0.5953345,,2014-01-01T12:00:00Z,0,44.56875,-125.23125,0.6912005,,,44.56875,-125.23125,0.629444867
2013-11-01T12:00:00Z,0,44.56875,-125.19375,0.6059958,,2013-12-01T12:00:00Z,0,44.56875,-125.19375,0.62537646,,2014-01-01T12:00:00Z,0,44.56875,-125.19375,0.68068546,,,44.56875,-125.19375,0.637352573
2013-11-01T12:00:00Z,0,44.56875,-125.15625,0.5428172,,2013-12-01T12:00:00Z,0,44.56875,-125.15625,0.6320034,,2014-01-01T12:00:00Z,0,44.56875,-125.15625,0.7074745,,,44.56875,-125.15625,0.6274317
2013-11-01T12:00:00Z,0,44.56875,-125.11875,0.54687923,,2013-12-01T12:00:00Z,0,44.56875,-125.11875,0.6536254,,2014-01-01T12:00:00Z,0,44.56875,-125.11875,0.6849958,,,44.56875,-125.11875,0.628500143
2013-11-01T12:00:00Z,0,44.56875,-125.08125,0.5358604,,2013-12-01T12:00:00Z,0,44.56875,-125.08125,0.5033368,,2014-01-01T12:00:00Z,0,44.56875,-125.08125,0.6740995,,,44.56875,-125.08125,0.5710989
2013-11-01T12:00:00Z,0,44.56875,-125.04375,0.54275465,,2013-12-01T12:00:00Z,0,44.56875,-125.04375,0.5215156,,2014-01-01T12:00:00Z,0,44.56875,-125.04375,0.6700526,,,44.56875,-125.04375,0.578107617
2013-11-01T12:00:00Z,0,44.56875,-125.00625,0.5450315,,2013-12-01T12:00:00Z,0,44.56875,-125.00625,0.5240337,,2014-01-01T12:00:00Z,0,44.56875,-125.00625,0.5661227,,,44.56875,-125.00625,0.545062633
2013-11-01T12:00:00Z,0,44.56875,-124.96875,0.57316524,,2013-12-01T12:00:00Z,0,44.56875,-124.96875,0.54442143,,2014-01-01T12:00:00Z,0,44.56875,-124.96875,0.5656973,,,44.56875,-124.96875,0.561094657
2013-11-01T12:00:00Z,0,44.56875,-124.93125,0.5448122,,2013-12-01T12:00:00Z,0,44.56875,-124.93125,0.58063436,,2014-01-01T12:00:00Z,0,44.56875,-124.93125,0.5562832,,,44.56875,-124.93125,0.560576587
2013-11-01T12:00:00Z,0,44.56875,-124.89375,0.5389842,,2013-12-01T12:00:00Z,0,44.56875,-124.89375,0.5605368,,2014-01-01T12:00:00Z,0,44.56875,-124.89375,0.6732232,,,44.56875,-124.89375,0.590914733
2013-11-01T12:00:00Z,0,44.56875,-124.85625,0.6323629,,2013-12-01T12:00:00Z,0,44.56875,-124.85625,0.55900043,,2014-01-01T12:00:00Z,0,44.56875,-124.85625,0.61160356,,,44.56875,-124.85625,0.600988963
2013-11-01T12:00:00Z,0,44.56875,-124.81875,0.644937,,2013-12-01T12:00:00Z,0,44.56875,-124.81875,0.5870426,,2014-01-01T12:00:00Z,0,44.56875,-124.81875,0.6738601,,,44.56875,-124.81875,0.6352799
2013-11-01T12:00:00Z,0,44.56875,-124.78125,0.69914544,,2013-12-01T12:00:00Z,0,44.56875,-124.78125,0.5809499,,2014-01-01T12:00:00Z,0,44.56875,-124.78125,0.6745717,,,44.56875,-124.78125,0.65155568
2013-11-01T12:00:00Z,0,44.56875,-124.74375,0.6780404,,2013-12-01T12:00:00Z,0,44.56875,-124.74375,0.6000572,,2014-01-01T12:00:00Z,0,44.56875,-124.74375,0.6572051,,,44.56875,-124.74375,0.6451009
2013-11-01T12:00:00Z,0,44.56875,-124.70625,0.650768,,2013-12-01T12:00:00Z,0,44.56875,-124.70625,0.58306426,,2014-01-01T12:00:00Z,0,44.56875,-124.70625,0.6260349,,,44.56875,-124.70625,0.61995572
2013-11-01T12:00:00Z,0,44.56875,-124.66875,0.62565374,,2013-12-01T12:00:00Z,0,44.56875,-124.66875,0.5420504,,2014-01-01T12:00:00Z,0,44.56875,-124.66875,0.6940746,,,44.56875,-124.66875,0.620592913
2013-11-01T12:00:00Z,0,44.56875,-124.63125,0.63184595,,2013-12-01T12:00:00Z,0,44.56875,-124.63125,0.5529038,,2014-01-01T12:00:00Z,0,44.56875,-124.63125,0.7061393,,,44.56875,-124.63125,0.63029635
2013-11-01T12:00:00Z,0,44.56875,-124.59375,0.6383515,,2013-12-01T12:00:00Z,0,44.56875,-124.59375,0.55594844,,2014-01-01T12:00:00Z,0,44.56875,-124.59375,0.74631417,,,44.56875,-124.59375,0.64687137
