time,altitude,latitude,longitude,chlor_a,nov-jan,,latitude,longitude,chlor_a,,,,latitude,longitude,chlor_a,,tot,latitude,longitude,chlor_a
UTC,m,degrees_north,degrees_east,mg m^-3,2018-2019,,degrees_north,degrees_east,mg m^-3,,,,degrees_north,degrees_east,mg m^-3,,,degrees_north,degrees_east,mg m^-3
2018-11-01T12:00:00Z,0,44.56875,-127.10625,0.47884372,2018-12-01T12:00:00Z,0,44.56875,-127.10625,0.38516328,,2019-01-01T12:00:00Z,0,44.56875,-127.10625,0.5332571,,,44.56875,-127.10625,0.4657547
2018-11-01T12:00:00Z,0,44.56875,-127.06875,0.4628887,2018-12-01T12:00:00Z,0,44.56875,-127.06875,0.38338482,,2019-01-01T12:00:00Z,0,44.56875,-127.06875,0.50846773,,,44.56875,-127.06875,0.451580417
2018-11-01T12:00:00Z,0,44.56875,-127.03125,0.44439694,2018-12-01T12:00:00Z,0,44.56875,-127.03125,0.30614313,,2019-01-01T12:00:00Z,0,44.56875,-127.03125,0.39687088,,,44.56875,-127.03125,0.382470317
2018-11-01T12:00:00Z,0,44.56875,-126.99375,0.41263437,2018-12-01T12:00:00Z,0,44.56875,-126.99375,0.32626206,,2019-01-01T12:00:00Z,0,44.56875,-126.99375,0.43278348,,,44.56875,-126.99375,0.39055997
2018-11-01T12:00:00Z,0,44.56875,-126.95625,0.40937003,2018-12-01T12:00:00Z,0,44.56875,-126.95625,0.32929182,,2019-01-01T12:00:00Z,0,44.56875,-126.95625,0.4392216,,,44.56875,-126.95625,0.392627817
2018-11-01T12:00:00Z,0,44.56875,-126.91875,0.4063885,2018-12-01T12:00:00Z,0,44.56875,-126.91875,0.3186231,,2019-01-01T12:00:00Z,0,44.56875,-126.91875,0.4267639,,,44.56875,-126.91875,0.383925167
2018-11-01T12:00:00Z,0,44.56875,-126.88125,0.40648606,2018-12-01T12:00:00Z,0,44.56875,-126.88125,0.33800057,,2019-01-01T12:00:00Z,0,44.56875,-126.88125,0.4312824,,,44.56875,-126.88125,0.39192301
2018-11-01T12:00:00Z,0,44.56875,-126.84375,0.39247692,2018-12-01T12:00:00Z,0,44.56875,-126.84375,0.34791505,,2019-01-01T12:00:00Z,0,44.56875,-126.84375,0.4188277,,,44.56875,-126.84375,0.386406557
2018-11-01T12:00:00Z,0,44.56875,-126.80625,0.45518437,2018-12-01T12:00:00Z,0,44.56875,-126.80625,0.33629933,,2019-01-01T12:00:00Z,0,44.56875,-126.80625,0.4186034,,,44.56875,-126.80625,0.403362367
2018-11-01T12:00:00Z,0,44.56875,-126.76875,0.43015018,2018-12-01T12:00:00Z,0,44.56875,-126.76875,0.353743,,2019-01-01T12:00:00Z,0,44.56875,-126.76875,0.41737294,,,44.56875,-126.76875,0.40042204
2018-11-01T12:00:00Z,0,44.56875,-126.73125,0.4328108,2018-12-01T12:00:00Z,0,44.56875,-126.73125,0.34981695,,2019-01-01T12:00:00Z,0,44.56875,-126.73125,0.39227346,,,44.56875,-126.73125,0.391633737
2018-11-01T12:00:00Z,0,44.56875,-126.69375,0.4112183,2018-12-01T12:00:00Z,0,44.56875,-126.69375,1.0668515,,2019-01-01T12:00:00Z,0,44.56875,-126.69375,0.3939488,,,44.56875,-126.69375,0.6240062
2018-11-01T12:00:00Z,0,44.56875,-126.65625,0.38987795,2018-12-01T12:00:00Z,0,44.56875,-126.65625,0.36766645,,2019-01-01T12:00:00Z,0,44.56875,-126.65625,0.41457522,,,44.56875,-126.65625,0.39070654
2018-11-01T12:00:00Z,0,44.56875,-126.61875,0.44180992,2018-12-01T12:00:00Z,0,44.56875,-126.61875,0.3631933,,2019-01-01T12:00:00Z,0,44.56875,-126.61875,0.41434357,,,44.56875,-126.61875,0.40644893
2018-11-01T12:00:00Z,0,44.56875,-126.58125,0.3864181,2018-12-01T12:00:00Z,0,44.56875,-126.58125,0.32203233,,2019-01-01T12:00:00Z,0,44.56875,-126.58125,0.37522757,,,44.56875,-126.58125,0.361226
2018-11-01T12:00:00Z,0,44.56875,-126.54375,0.4122027,2018-12-01T12:00:00Z,0,44.56875,-126.54375,0.30930027,,2019-01-01T12:00:00Z,0,44.56875,-126.54375,0.4270594,,,44.56875,-126.54375,0.382854123
2018-11-01T12:00:00Z,0,44.56875,-126.50625,0.4383991,2018-12-01T12:00:00Z,0,44.56875,-126.50625,0.35094628,,2019-01-01T12:00:00Z,0,44.56875,-126.50625,0.41780704,,,44.56875,-126.50625,0.40238414
2018-11-01T12:00:00Z,0,44.56875,-126.46875,0.39334685,2018-12-01T12:00:00Z,0,44.56875,-126.46875,0.34844556,,2019-01-01T12:00:00Z,0,44.56875,-126.46875,0.41531476,,,44.56875,-126.46875,0.38570239
2018-11-01T12:00:00Z,0,44.56875,-126.43125,0.39234933,2018-12-01T12:00:00Z,0,44.56875,-126.43125,0.35104305,,2019-01-01T12:00:00Z,0,44.56875,-126.43125,0.42384198,,,44.56875,-126.43125,0.38907812
2018-11-01T12:00:00Z,0,44.56875,-126.39375,0.42138112,2018-12-01T12:00:00Z,0,44.56875,-126.39375,0.36147633,,2019-01-01T12:00:00Z,0,44.56875,-126.39375,0.5631415,,,44.56875,-126.39375,0.448666317
2018-11-01T12:00:00Z,0,44.56875,-126.35625,0.40513855,2018-12-01T12:00:00Z,0,44.56875,-126.35625,0.3431367,,2019-01-01T12:00:00Z,0,44.56875,-126.35625,0.41796494,,,44.56875,-126.35625,0.38874673
2018-11-01T12:00:00Z,0,44.56875,-126.31875,0.39362946,2018-12-01T12:00:00Z,0,44.56875,-126.31875,0.30707154,,2019-01-01T12:00:00Z,0,44.56875,-126.31875,0.46216744,,,44.56875,-126.31875,0.387622813
2018-11-01T12:00:00Z,0,44.56875,-126.28125,0.37892556,2018-12-01T12:00:00Z,0,44.56875,-126.28125,0.41807508,,2019-01-01T12:00:00Z,0,44.56875,-126.28125,0.35169953,,,44.56875,-126.28125,0.382900057
2018-11-01T12:00:00Z,0,44.56875,-126.24375,0.3157736,2018-12-01T12:00:00Z,0,44.56875,-126.24375,0.94310147,,2019-01-01T12:00:00Z,0,44.56875,-126.24375,0.46286187,,,44.56875,-126.24375,0.573912313
2018-11-01T12:00:00Z,0,44.56875,-126.20625,0.31657737,2018-12-01T12:00:00Z,0,44.56875,-126.20625,0.4089348,,2019-01-01T12:00:00Z,0,44.56875,-126.20625,0.5011431,,,44.56875,-126.20625,0.40888509
2018-11-01T12:00:00Z,0,44.56875,-126.16875,0.42382213,2018-12-01T12:00:00Z,0,44.56875,-126.16875,0.40597206,,2019-01-01T12:00:00Z,0,44.56875,-126.16875,0.5209153,,,44.56875,-126.16875,0.450236497
2018-11-01T12:00:00Z,0,44.56875,-126.13125,0.37146455,2018-12-01T12:00:00Z,0,44.56875,-126.13125,0.46406478,,2019-01-01T12:00:00Z,0,44.56875,-126.13125,0.34300652,,,44.56875,-126.13125,0.392845283
2018-11-01T12:00:00Z,0,44.56875,-126.09375,0.41453212,2018-12-01T12:00:00Z,0,44.56875,-126.09375,0.4536011,,2019-01-01T12:00:00Z,0,44.56875,-126.09375,0.33488798,,,44.56875,-126.09375,0.401007067
2018-11-01T12:00:00Z,0,44.56875,-126.05625,0.4513836,2018-12-01T12:00:00Z,0,44.56875,-126.05625,0.46363193,,2019-01-01T12:00:00Z,0,44.56875,-126.05625,0.38292894,,,44.56875,-126.05625,0.432648157
2018-11-01T12:00:00Z,0,44.56875,-126.01875,0.48379418,2018-12-01T12:00:00Z,0,44.56875,-126.01875,0.46001124,,2019-01-01T12:00:00Z,0,44.56875,-126.01875,0.3759417,,,44.56875,-126.01875,0.439915707
2018-11-01T12:00:00Z,0,44.56875,-125.98125,0.42706928,2018-12-01T12:00:00Z,0,44.56875,-125.98125,0.38150704,,2019-01-01T12:00:00Z,0,44.56875,-125.98125,0.43347588,,,44.56875,-125.98125,0.4140174
2018-11-01T12:00:00Z,0,44.56875,-125.94375,0.43903667,2018-12-01T12:00:00Z,0,44.56875,-125.94375,0.37567443,,2019-01-01T12:00:00Z,0,44.56875,-125.94375,0.38574702,,,44.56875,-125.94375,0.400152707
2018-11-01T12:00:00Z,0,44.56875,-125.90625,0.40556,2018-12-01T12:00:00Z,0,44.56875,-125.90625,0.3604827,,2019-01-01T12:00:00Z,0,44.56875,-125.90625,0.39064604,,,44.56875,-125.90625,0.385562913
2018-11-01T12:00:00Z,0,44.56875,-125.86875,0.4500893,2018-12-01T12:00:00Z,0,44.56875,-125.86875,0.33156192,,2019-01-01T12:00:00Z,0,44.56875,-125.86875,0.4011361,,,44.56875,-125.86875,0.39426244
2018-11-01T12:00:00Z,0,44.56875,-125.83125,0.47809565,2018-12-01T12:00:00Z,0,44.56875,-125.83125,0.44891664,,2019-01-01T12:00:00Z,0,44.56875,-125.83125,0.3942409,,,44.56875,-125.83125,0.44041773
2018-11-01T12:00:00Z,0,44.56875,-125.79375,0.5087438,2018-12-01T12:00:00Z,0,44.56875,-125.79375,0.4532509,,2019-01-01T12:00:00Z,0,44.56875,-125.79375,0.39827594,,,44.56875,-125.79375,0.453423547
2018-11-01T12:00:00Z,0,44.56875,-125.75625,0.45810235,2018-12-01T12:00:00Z,0,44.56875,-125.75625,0.49153093,,2019-01-01T12:00:00Z,0,44.56875,-125.75625,0.44147715,,,44.56875,-125.75625,0.463703477
2018-11-01T12:00:00Z,0,44.56875,-125.71875,0.6028732,2018-12-01T12:00:00Z,0,44.56875,-125.71875,0.50528187,,2019-01-01T12:00:00Z,0,44.56875,-125.71875,0.41605127,,,44.56875,-125.71875,0.50806878
2018-11-01T12:00:00Z,0,44.56875,-125.68125,0.65788156,2018-12-01T12:00:00Z,0,44.56875,-125.68125,0.4477422,,2019-01-01T12:00:00Z,0,44.56875,-125.68125,0.43651786,,,44.56875,-125.68125,0.514047207
2018-11-01T12:00:00Z,0,44.56875,-125.64375,0.6569518,2018-12-01T12:00:00Z,0,44.56875,-125.64375,0.5265642,,2019-01-01T12:00:00Z,0,44.56875,-125.64375,0.45255855,,,44.56875,-125.64375,0.545358183
2018-11-01T12:00:00Z,0,44.56875,-125.60625,0.62055916,2018-12-01T12:00:00Z,0,44.56875,-125.60625,0.53924036,,2019-01-01T12:00:00Z,0,44.56875,-125.60625,0.43328682,,,44.56875,-125.60625,0.53102878
2018-11-01T12:00:00Z,0,44.56875,-125.56875,0.5857879,2018-12-01T12:00:00Z,0,44.56875,-125.56875,0.5177787,,2019-01-01T12:00:00Z,0,44.56875,-125.56875,0.39459953,,,44.56875,-125.56875,0.49938871
2018-11-01T12:00:00Z,0,44.56875,-125.53125,0.54235417,2018-12-01T12:00:00Z,0,44.56875,-125.53125,0.5364672,,2019-01-01T12:00:00Z,0,44.56875,-125.53125,0.40176195,,,44.56875,-125.53125,0.493527773
2018-11-01T12:00:00Z,0,44.56875,-125.49375,0.64645064,2018-12-01T12:00:00Z,0,44.56875,-125.49375,0.5019108,,2019-01-01T12:00:00Z,0,44.56875,-125.49375,0.40249464,,,44.56875,-125.49375,0.516952027
2018-11-01T12:00:00Z,0,44.56875,-125.45625,0.63359207,2018-12-01T12:00:00Z,0,44.56875,-125.45625,0.50031745,,2019-01-01T12:00:00Z,0,44.56875,-125.45625,0.4628798,,,44.56875,-125.45625,0.532263107
2018-11-01T12:00:00Z,0,44.56875,-125.41875,0.6956269,2018-12-01T12:00:00Z,0,44.56875,-125.41875,0.49731222,,2019-01-01T12:00:00Z,0,44.56875,-125.41875,0.4929635,,,44.56875,-125.41875,0.56196754
2018-11-01T12:00:00Z,0,44.56875,-125.38125,0.76990986,2018-12-01T12:00:00Z,0,44.56875,-125.38125,0.45991838,,2019-01-01T12:00:00Z,0,44.56875,-125.38125,0.5057623,,,44.56875,-125.38125,0.57853018
2018-11-01T12:00:00Z,0,44.56875,-125.34375,0.6297653,2018-12-01T12:00:00Z,0,44.56875,-125.34375,0.5056009,,2019-01-01T12:00:00Z,0,44.56875,-125.34375,0.45909405,,,44.56875,-125.34375,0.53148675
2018-11-01T12:00:00Z,0,44.56875,-125.30625,0.6489825,2018-12-01T12:00:00Z,0,44.56875,-125.30625,0.48638526,,2019-01-01T12:00:00Z,0,44.56875,-125.30625,0.4812504,,,44.56875,-125.30625,0.53887272
2018-11-01T12:00:00Z,0,44.56875,-125.26875,0.7097556,2018-12-01T12:00:00Z,0,44.56875,-125.26875,0.5885407,,2019-01-01T12:00:00Z,0,44.56875,-125.26875,0.4896496,,,44.56875,-125.26875,0.595981967
2018-11-01T12:00:00Z,0,44.56875,-125.23125,0.63086945,2018-12-01T12:00:00Z,0,44.56875,-125.23125,0.5673921,,2019-01-01T12:00:00Z,0,44.56875,-125.23125,0.5081925,,,44.56875,-125.23125,0.568818017
2018-11-01T12:00:00Z,0,44.56875,-125.19375,0.64939225,2018-12-01T12:00:00Z,0,44.56875,-125.19375,0.5745127,,2019-01-01T12:00:00Z,0,44.56875,-125.19375,0.47753924,,,44.56875,-125.19375,0.567148063
2018-11-01T12:00:00Z,0,44.56875,-125.15625,0.65071344,2018-12-01T12:00:00Z,0,44.56875,-125.15625,0.58793676,,2019-01-01T12:00:00Z,0,44.56875,-125.15625,0.47621483,,,44.56875,-125.15625,0.571621677
2018-11-01T12:00:00Z,0,44.56875,-125.11875,0.6665487,2018-12-01T12:00:00Z,0,44.56875,-125.11875,0.618995,,2019-01-01T12:00:00Z,0,44.56875,-125.11875,0.4920542,,,44.56875,-125.11875,0.592532633
2018-11-01T12:00:00Z,0,44.56875,-125.08125,0.697368,2018-12-01T12:00:00Z,0,44.56875,-125.08125,0.6088743,,2019-01-01T12:00:00Z,0,44.56875,-125.08125,0.48828024,,,44.56875,-125.08125,0.59817418
2018-11-01T12:00:00Z,0,44.56875,-125.04375,0.756027,2018-12-01T12:00:00Z,0,44.56875,-125.04375,0.5405877,,2019-01-01T12:00:00Z,0,44.56875,-125.04375,0.5050527,,,44.56875,-125.04375,0.6005558
